road_name,road_distance,route_name,bus_station,brt_station,peak_hours,average_speed,travel_time,fare,landmark_nearby,road_type,traffic_lights_count,route_type,congestion_level,passenger_capacity,alternative_routes,bus_station_location,brt_station_location,geojson_data
Morogoro Road,25.6,Route 7,Kimara,Kivukoni,17:00-19:00,46,74,1500,National Stadium,Highway,3,Bus,Low,50,Alt-Morogoro Road,"-6.788792, 39.33922","-6.890434, 39.252654","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.33922, -6.788792]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 7', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 3,Tegeta,Magomeni,17:00-19:00,42,38,1500,Uhuru Stadium,Feeder Road,8,Bus,Low,50,Alt-Morogoro Road,"-6.716639, 39.28884","-6.88759, 39.363531","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.28884, -6.716639]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 3', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 9,Posta,Ubungo,12:00-14:00,49,79,500,Kariakoo Market,Highway,9,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.810413, 39.291435","-6.76598, 39.220815","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.291435, -6.810413]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 9', 'station': 'Posta', 'congestion_level': 'Low'}}"
Morogoro Road,20.5,Route 9,Kimara,Kimara,12:00-14:00,30,66,1500,Kariakoo Market,Feeder Road,9,Bus,Medium,50,Alt-Morogoro Road,"-6.806369, 39.230335","-6.837381, 39.240847","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.230335, -6.806369]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 9', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Nyerere Road,12.2,Route 20,Tegeta,Kivukoni,17:00-19:00,46,58,700,Uhuru Stadium,Main Road,2,Bus,Low,50,Alt-Nyerere Road,"-6.770023, 39.242739","-6.867971, 39.241622","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.242739, -6.770023]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 20', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Sam Nujoma Road,25.6,Route 18,Magomeni,Ubungo,12:00-14:00,32,46,1500,National Stadium,Highway,5,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.85448, 39.304107","-6.855076, 39.297013","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.304107, -6.85448]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 18', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Nyerere Road,12.2,Route 18,Buguruni,Gerezani,07:00-09:00,22,96,2000,Posta City Center,Highway,7,Bus,Medium,50,Alt-Nyerere Road,"-6.834432, 39.304862","-6.89326, 39.298029","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.304862, -6.834432]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 18', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,20.5,Route 6,Kimara,Kariakoo,12:00-14:00,19,104,700,Posta City Center,Main Road,4,Bus,High,50,Alt-Sam Nujoma Road,"-6.879612, 39.278274","-6.831834, 39.218772","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.278274, -6.879612]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 6', 'station': 'Kimara', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,25.6,Route 12,Kimara,Kariakoo,17:00-19:00,53,44,500,Kariakoo Market,Feeder Road,7,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.777797, 39.379909","-6.822142, 39.349261","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.379909, -6.777797]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 16,Kimara,Gerezani,17:00-19:00,40,97,700,Uhuru Stadium,Highway,7,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.808989, 39.342411","-6.897568, 39.204139","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.342411, -6.808989]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 16', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Nyerere Road,25.6,Route 15,Kariakoo,Gerezani,17:00-19:00,32,19,1000,Kariakoo Market,Main Road,1,Bus,Medium,50,Alt-Nyerere Road,"-6.701862, 39.202885","-6.732701, 39.259319","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.202885, -6.701862]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 15', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,15.3,Route 10,Ubungo,Mbezi,07:00-09:00,39,57,500,Posta City Center,Highway,7,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.71365, 39.204367","-6.888937, 39.206672","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.204367, -6.71365]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 10', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Bagamoyo Road,25.6,Route 6,Kimara,Kariakoo,12:00-14:00,19,29,1000,National Stadium,Main Road,6,Bus,High,50,Alt-Bagamoyo Road,"-6.877987, 39.364823","-6.807825, 39.267238","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.364823, -6.877987]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 6', 'station': 'Kimara', 'congestion_level': 'High'}}"
Nyerere Road,15.3,Route 14,Ubungo,Mbezi,12:00-14:00,12,39,500,Kariakoo Market,Highway,4,Bus,High,50,Alt-Nyerere Road,"-6.709424, 39.338515","-6.722799, 39.336323","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.338515, -6.709424]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 14', 'station': 'Ubungo', 'congestion_level': 'High'}}"
Sam Nujoma Road,12.2,Route 6,Posta,Gerezani,12:00-14:00,30,69,2000,National Stadium,Feeder Road,8,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.714155, 39.316932","-6.792608, 39.339917","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.316932, -6.714155]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 6', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 4,Tegeta,Kimara,17:00-19:00,25,91,2000,Kariakoo Market,Main Road,6,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.742335, 39.306294","-6.809891, 39.384697","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.306294, -6.742335]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 4', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Bagamoyo Road,20.5,Route 19,Magomeni,Gerezani,12:00-14:00,34,10,500,Uhuru Stadium,Highway,5,Bus,Medium,50,Alt-Bagamoyo Road,"-6.718039, 39.257722","-6.883763, 39.361243","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.257722, -6.718039]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 19', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,12.2,Route 2,Kariakoo,Kivukoni,12:00-14:00,24,69,1000,Uhuru Stadium,Main Road,9,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.769149, 39.31712","-6.712558, 39.298388","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.31712, -6.769149]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 2', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Morogoro Road,20.5,Route 13,Kariakoo,Kimara,07:00-09:00,25,37,700,Mlimani City Mall,Main Road,3,Bus,Medium,50,Alt-Morogoro Road,"-6.879474, 39.201678","-6.899197, 39.333756","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.201678, -6.879474]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 13', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Nyerere Road,20.5,Route 17,Kimara,Gerezani,17:00-19:00,51,108,2000,National Stadium,Feeder Road,1,Bus,Low,50,Alt-Nyerere Road,"-6.880824, 39.221248","-6.807518, 39.349714","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.221248, -6.880824]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 17', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 3,Mbagala,Kimara,07:00-09:00,14,75,2000,Kariakoo Market,Feeder Road,9,Bus,High,50,Alt-Morogoro Road,"-6.817828, 39.265727","-6.749798, 39.353865","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.265727, -6.817828]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 3', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,15.3,Route 5,Mbagala,Ubungo,07:00-09:00,47,60,2000,National Stadium,Main Road,0,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.788082, 39.274617","-6.715702, 39.338785","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.274617, -6.788082]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 5', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Bagamoyo Road,15.3,Route 15,Ubungo,Kimara,17:00-19:00,39,90,1500,Uhuru Stadium,Feeder Road,7,Bus,Medium,50,Alt-Bagamoyo Road,"-6.849066, 39.309962","-6.750761, 39.379487","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.309962, -6.849066]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 15', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Nyerere Road,20.5,Route 17,Posta,Kariakoo,17:00-19:00,46,13,1500,Mlimani City Mall,Main Road,1,Bus,Low,50,Alt-Nyerere Road,"-6.837664, 39.325611","-6.867975, 39.235413","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.325611, -6.837664]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 17', 'station': 'Posta', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,20.5,Route 18,Magomeni,Magomeni,12:00-14:00,46,114,2000,National Stadium,Feeder Road,6,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.861822, 39.26863","-6.709436, 39.235512","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.26863, -6.861822]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 18', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 17,Tegeta,Kivukoni,12:00-14:00,44,34,700,National Stadium,Feeder Road,4,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.89849, 39.305802","-6.813652, 39.296835","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.305802, -6.89849]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 17', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Bagamoyo Road,20.5,Route 11,Kimara,Mbezi,12:00-14:00,45,109,700,Kariakoo Market,Feeder Road,5,Bus,Low,50,Alt-Bagamoyo Road,"-6.899125, 39.270885","-6.814502, 39.257858","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.270885, -6.899125]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 11', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Morogoro Road,18.7,Route 2,Sinza,Gerezani,12:00-14:00,15,103,1500,Uhuru Stadium,Feeder Road,5,Bus,High,50,Alt-Morogoro Road,"-6.899511, 39.20117","-6.892674, 39.327109","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.20117, -6.899511]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 2', 'station': 'Sinza', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,12.2,Route 13,Posta,Ubungo,17:00-19:00,15,41,500,Posta City Center,Highway,0,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.863006, 39.303475","-6.892293, 39.395293","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.303475, -6.863006]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 13', 'station': 'Posta', 'congestion_level': 'High'}}"
Nyerere Road,20.5,Route 10,Tegeta,Kivukoni,17:00-19:00,55,12,1500,Posta City Center,Highway,1,Bus,Low,50,Alt-Nyerere Road,"-6.724392, 39.347492","-6.729974, 39.217668","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.347492, -6.724392]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 10', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Bagamoyo Road,12.2,Route 12,Ubungo,Gerezani,07:00-09:00,34,67,2000,Mlimani City Mall,Highway,0,Bus,Medium,50,Alt-Bagamoyo Road,"-6.708976, 39.278705","-6.747507, 39.292511","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.278705, -6.708976]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 12', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,25.6,Route 7,Mwenge,Ubungo,07:00-09:00,27,104,1500,Posta City Center,Highway,2,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.775928, 39.394526","-6.715943, 39.373122","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.394526, -6.775928]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 7', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,15.3,Route 18,Sinza,Kivukoni,07:00-09:00,55,82,700,Kariakoo Market,Feeder Road,9,Bus,Low,50,Alt-Sam Nujoma Road,"-6.858103, 39.293616","-6.757548, 39.28048","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.293616, -6.858103]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 18', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 17,Buguruni,Ubungo,07:00-09:00,35,27,1000,Uhuru Stadium,Feeder Road,6,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.880023, 39.291502","-6.817971, 39.389848","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.291502, -6.880023]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 17', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Nyerere Road,25.6,Route 13,Kariakoo,Mbezi,17:00-19:00,40,78,700,Posta City Center,Highway,4,Bus,Medium,50,Alt-Nyerere Road,"-6.869988, 39.223178","-6.702497, 39.398858","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.223178, -6.869988]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 13', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Nyerere Road,18.7,Route 2,Posta,Mbezi,07:00-09:00,39,17,1000,Mlimani City Mall,Feeder Road,8,Bus,Medium,50,Alt-Nyerere Road,"-6.884974, 39.26426","-6.733192, 39.386491","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.26426, -6.884974]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 2', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 11,Kariakoo,Kariakoo,17:00-19:00,11,15,1000,Uhuru Stadium,Feeder Road,2,Bus,High,50,Alt-Morogoro Road,"-6.897652, 39.374787","-6.752548, 39.389806","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.374787, -6.897652]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 11', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Morogoro Road,15.3,Route 10,Kimara,Mbezi,17:00-19:00,37,29,500,Kariakoo Market,Highway,8,Bus,Medium,50,Alt-Morogoro Road,"-6.889361, 39.21869","-6.822729, 39.208725","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.21869, -6.889361]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 10', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Bagamoyo Road,18.7,Route 6,Magomeni,Ubungo,17:00-19:00,28,119,500,Posta City Center,Highway,0,Bus,Medium,50,Alt-Bagamoyo Road,"-6.809067, 39.359277","-6.711192, 39.282601","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.359277, -6.809067]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 6', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,15.3,Route 4,Ubungo,Gerezani,17:00-19:00,54,31,1000,Uhuru Stadium,Main Road,1,Bus,Low,50,Alt-Sam Nujoma Road,"-6.842757, 39.209448","-6.842024, 39.280826","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.209448, -6.842757]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 4', 'station': 'Ubungo', 'congestion_level': 'Low'}}"
Nyerere Road,25.6,Route 16,Mwenge,Kivukoni,12:00-14:00,33,97,2000,Uhuru Stadium,Main Road,0,Bus,Medium,50,Alt-Nyerere Road,"-6.84433, 39.31387","-6.879047, 39.246274","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.31387, -6.84433]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 16', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Morogoro Road,20.5,Route 19,Mwenge,Ubungo,12:00-14:00,45,104,500,Mlimani City Mall,Feeder Road,0,Bus,Low,50,Alt-Morogoro Road,"-6.849861, 39.398132","-6.711499, 39.377203","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.398132, -6.849861]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 19', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 19,Buguruni,Kivukoni,07:00-09:00,31,65,2000,Uhuru Stadium,Feeder Road,2,Bus,Medium,50,Alt-Morogoro Road,"-6.864313, 39.354908","-6.859027, 39.264104","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.354908, -6.864313]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 19', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Morogoro Road,25.6,Route 1,Posta,Kivukoni,17:00-19:00,10,93,1500,National Stadium,Highway,9,Bus,High,50,Alt-Morogoro Road,"-6.845732, 39.391588","-6.865748, 39.321744","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.391588, -6.845732]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 1', 'station': 'Posta', 'congestion_level': 'High'}}"
Morogoro Road,12.2,Route 16,Mbagala,Kariakoo,17:00-19:00,55,24,1000,Kariakoo Market,Feeder Road,6,Bus,Low,50,Alt-Morogoro Road,"-6.73571, 39.380796","-6.737448, 39.370717","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.380796, -6.73571]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 16', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Bagamoyo Road,20.5,Route 9,Kariakoo,Kariakoo,07:00-09:00,20,52,500,Kariakoo Market,Main Road,8,Bus,Medium,50,Alt-Bagamoyo Road,"-6.840001, 39.302314","-6.715681, 39.25839","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.302314, -6.840001]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 9', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Morogoro Road,20.5,Route 6,Ubungo,Kimara,17:00-19:00,35,99,500,Uhuru Stadium,Feeder Road,0,Bus,Medium,50,Alt-Morogoro Road,"-6.791925, 39.346919","-6.721394, 39.384063","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.346919, -6.791925]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 6', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 3,Kimara,Gerezani,12:00-14:00,57,60,1000,Mlimani City Mall,Main Road,6,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.872758, 39.202582","-6.72957, 39.312396","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.202582, -6.872758]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 3', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 13,Ubungo,Magomeni,12:00-14:00,37,93,500,Uhuru Stadium,Main Road,0,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.818166, 39.366114","-6.812604, 39.272494","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.366114, -6.818166]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 13', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Morogoro Road,12.2,Route 12,Buguruni,Kariakoo,12:00-14:00,36,25,1000,Uhuru Stadium,Feeder Road,4,Bus,Medium,50,Alt-Morogoro Road,"-6.87633, 39.259752","-6.754342, 39.218621","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.259752, -6.87633]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 12', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 3,Mbagala,Kivukoni,12:00-14:00,48,13,700,Kariakoo Market,Main Road,6,Bus,Low,50,Alt-Nyerere Road,"-6.87521, 39.331746","-6.859323, 39.323116","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.331746, -6.87521]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 3', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Sam Nujoma Road,12.2,Route 1,Kimara,Ubungo,17:00-19:00,56,15,1000,Mlimani City Mall,Highway,9,Bus,Low,50,Alt-Sam Nujoma Road,"-6.840071, 39.255681","-6.8054, 39.395841","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.255681, -6.840071]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 1', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Bagamoyo Road,20.5,Route 10,Mwenge,Kimara,17:00-19:00,44,54,2000,Uhuru Stadium,Highway,4,Bus,Low,50,Alt-Bagamoyo Road,"-6.876691, 39.224113","-6.848456, 39.200302","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.224113, -6.876691]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 10', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 1,Kimara,Gerezani,12:00-14:00,30,85,2000,Posta City Center,Feeder Road,3,Bus,Medium,50,Alt-Morogoro Road,"-6.899373, 39.266481","-6.748742, 39.350747","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.266481, -6.899373]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 1', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 8,Kariakoo,Kariakoo,07:00-09:00,59,69,500,National Stadium,Feeder Road,5,Bus,Low,50,Alt-Nyerere Road,"-6.700881, 39.243273","-6.703217, 39.31557","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.243273, -6.700881]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 8', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Bagamoyo Road,12.2,Route 10,Tegeta,Mbezi,07:00-09:00,23,90,2000,Mlimani City Mall,Main Road,7,Bus,Medium,50,Alt-Bagamoyo Road,"-6.77648, 39.266318","-6.86766, 39.370659","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.266318, -6.77648]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 10', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Bagamoyo Road,12.2,Route 7,Buguruni,Ubungo,07:00-09:00,54,58,500,National Stadium,Main Road,2,Bus,Low,50,Alt-Bagamoyo Road,"-6.744179, 39.378447","-6.705752, 39.231312","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.378447, -6.744179]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 7', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Morogoro Road,15.3,Route 5,Mbagala,Magomeni,17:00-19:00,20,21,500,Posta City Center,Main Road,3,Bus,Medium,50,Alt-Morogoro Road,"-6.882923, 39.354707","-6.838873, 39.232838","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.354707, -6.882923]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 5', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Nyerere Road,25.6,Route 16,Buguruni,Kimara,12:00-14:00,23,83,1000,Posta City Center,Main Road,2,Bus,Medium,50,Alt-Nyerere Road,"-6.892942, 39.344831","-6.852457, 39.32673","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.344831, -6.892942]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 16', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,15.3,Route 1,Mbagala,Gerezani,12:00-14:00,50,114,1500,Mlimani City Mall,Feeder Road,4,Bus,Low,50,Alt-Sam Nujoma Road,"-6.739681, 39.31563","-6.839562, 39.330031","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.31563, -6.739681]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 1', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Sam Nujoma Road,20.5,Route 6,Tegeta,Kimara,12:00-14:00,20,103,2000,Kariakoo Market,Highway,5,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.894042, 39.341919","-6.770148, 39.264765","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.341919, -6.894042]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 6', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Bagamoyo Road,18.7,Route 12,Kimara,Magomeni,12:00-14:00,54,22,500,Uhuru Stadium,Main Road,9,Bus,Low,50,Alt-Bagamoyo Road,"-6.770722, 39.370513","-6.83924, 39.368364","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.370513, -6.770722]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 12', 'station': 'Kimara', 'congestion_level': 'Low'}}"
